Capitaland Limited,,https://www.capitalandinvest.com/about-us/board-of-directors.html,,C31.SI,,,,,,
Adam Keswick,,,,,,,,
Anthony Nightingale,,,,,,,,
Christina Ong,,,,,,,,
Yiu Kai Pang,,,,,,,,
"Lord Powell of Bayswater, KCMG",,,,,,,,
Prijono Sugiarto,,,,,,,,
Percy Weatherall,,,,,,,,
Michael Wei Kuo Wu,,,,,,,,
Jonathan Lloyd,,,,,,,,
,,,,,,,,
Jardine Cycle & Carriage,,https://www.jcclgroup.com/about-us/board-of-directors,,C07.SI,,,,,,
BENJAMIN KESWICK,,,,,,,,
BENJAMIN BIRKS,,,,,,,,
STEPHEN GORE,,,,,,,,
MICHAEL KOK,,,,,,,,
LIM HWEE HUA,,,,,,,,
MARTY NATALEGAWA,,,,,,,,
ANTHONY NIGHTINGALE,,,,,,,,
STEVEN PHAN,,,,,,,,
TAN YEN YEN,,,,,,,,
SAMUEL TSIEN,,,,,,,,
,,,,,,,,
Jardine Matheson Holdings Limited,,https://www.jardines.com/en/about-us/our-leadership,,J36.SI,,,,,,,,
Ben Keswick,,,,,,,,
John Witt,,,,,,,,
Yiu Kai Pang,,,,,,,,
Graham Baker,,,,,,,,
Stuart Gulliver,,,,,,,,
David Hsu,,,,,,,,
Julian Hui,,,,,,,,
Adam Keswick,,,,,,,,
Anthony Nightingale,,,,,,,,
Jeremy Parr,,,,,,,,
Percy Weatherall,,,,,,,,
Michael Wei Kuo Wu,,,,,,,,
Jonathan Lloyd,,,,,,,,
,,,,,,,,
Keppel Corporation,,https://www.kepcorp.com/en/who-we-are/board-of-directors/,,BN4.SI,,,,,,
Danny Teoh,,,,,,,,
Loh Chin Hua,,,,,,,,
Till Vestring,,,,,,,,
Veronica Eng,,,,,,,,
Jean-François Manzoni,,,,,,,,
Teo Siong Seng,,,,,,,,
Tham Sai Choy,,,,,,,,
Penny Goh,,,,,,,,
Shirish Apte,,,,,,,,
,,,,,,,,
Keppel DC Reit,,https://www.keppeldcreit.com/en/the-manager/board-of-directors/,,NA,,,,,,
Christina Tan,,,,,,,,
Kenny Kwan,,,,,,,,
Lee Chiang Huat,,,,,,,,
Tan Tin Wee,,,,,,,,
Dileep Nair,,,,,,,,
Low Huan Ping,,,,,,,,
Thomas Pang Thieng Hwi,,,,,,,,
,,,,,,,,
Mapletree Commercial Trust,,https://www.mapletreecommercialtrust.com/The-Manager/Board-of-Directors.aspx,,N2IU.SI,,,,,,
Tsang Yam Pui,,,,,,,,
Kwa Kim Li,,,,,,,,
Premod P. Thomas,,,,,,,,
Kan Shik Lum,,,,,,,,
Koh Cheng Chua,,,,,,,,
Wu Long Peng,,,,,,,,
Mak Keat Meng,,,,,,,,
Alvin Tay,,,,,,,,
Hiew Yoon Khong,,,,,,,,
Wendy Koh,,,,,,,,
Amy Ng,,,,,,,,
Sharon Lim,,,,,,,,
,,,,,,,,
Mapletree Industrial Trust,,https://www.mapletreeindustrialtrust.com/The-Manager/Board-of-Directors.aspx,,NA,,,,,,
Wong Meng Meng,,,,,,,,
Mary Yeo Chor Gek,,,,,,,,
Pok Soy Yoong,,,,,,,,
Guy Daniel Harvey-Samuel,,,,,,,,
Andrew Lee Tong Kin,,,,,,,,
William Toh Thiam Siew,,,,,,,,
Andrew Chong Yang Hsueh,,,,,,,,
Chan Chia Lin,,,,,,,,
Chua Tiow Chye,,,,,,,,
Wendy Koh Mui Ai,,,,,,,,
Michael Thomas Smith,,,,,,,,
Tham Kuo Wei,,,,,,,,
,,,,,,,,
