uni,name,type,symbol,monitored,url
Nanyang Technological University,Goh Swee Chen;Dewi Fortuna Anwar;Leszek Borysiewicz;Goh Sin Teck;Lai Chung Han;Lam Chung Nian;Lee Shiang Long;Lim Chow Kiat;Lim Chuan Poh;Lo Kien foh;Low Check Kian;Anthony Mallek;David Su Tuong Sing;Tan Chin Hwee;Wong Yew Meng;Zainul Abidin Rasheed;Alexander J.B. Zehnder;Subra Suresh,University,NA,Public Service Comission,https://www.ntu.edu.sg/about-us/leadership-organisation/board-of-trustees
National University of Singapore,Hsieh Fu Hua;Chan Heng Chee;Cheong Koon Hean;Chew Gek Khim;Goh Choon Phong;Peter Ho Hak Ean;Ho Teck Hua;Timothy Lawrence Killeen;Lai Chung Han;Lee Ming San;Forrest Li;Andrew Lim Ming-hui;Loh Chin Hua;Chaly Mah Chee Kheong;Sudha Nair;Ng Wai King;Bahren Shaari;Tan Eng Chye;Tan Hooi Ling;Jeanette Wong;Elaine Yew Wen Suen,University,NA,Public Service Comission,https://www.nus.edu.sg/about/board-of-trustees
SMU,Ho Kwon Ping;Beh Jit Han Paul;Piyush Gupta;Deborah Ho;Melissa Khoo;Maxwell King;Kho Hui Meng;Hugh Lim;Olivier Lim;Lim Kexin;Lim Ming Yan;Edmund Lin;Ivy Ng;Arif P. Rachmat;Juthika Ramanathan;Ganen Sarvananthan;Panote Sirivadhanabhakdi;Jaime Augusto Zobel De Ayala;Nigel Thrift;Sunny Verghese,University,NA,Public Service Comission,https://www.smu.edu.sg/about/leadership
